model_id,version,strategy_type,symbol,pivot_left,pivot_right,min_swing_range_pct,stop_buffer_pct,max_wait_minutes_after_touch,max_hold_minutes,rr_target,setup_valid_minutes,avg_daily_roi_pct,median_daily_roi_pct,best_day_roi_pct,worst_day_roi_pct,positive_day_ratio,avg_daily_pnl,total_pnl,total_trades,avg_trades_per_day,win_rate,max_drawdown_pct,equity_final,eval_days,run_ts,days_lookback,fee_bps_per_side,qty,horizon,tp,sl,p_enter
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,SPY,2.0,2.0,0.005,0.001,10.0,30.0,,60.0,-0.0422825083800193,-0.0365913979821241,0.1264687304517653,-0.1910152658581432,0.4,-2.8643700000001,-28.643700000001,10,1.0,0.4,-0.0213174348468458,99971.3563,10,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,SPY,2.0,2.0,0.005,0.001,10.0,30.0,1.5,60.0,-0.0347715612107046,-0.0539061572334764,0.1733823641374621,-0.1910152658581432,0.3,-2.419370000000097,-24.193700000000977,10,1.0,0.3,-0.0264116940354441,99975.8063,10,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,QQQ,2.0,2.0,0.004,0.0005,10.0,20.0,,60.0,0.0279873515981544,0.019178154942516,0.3050956991668551,-0.2507861104595243,0.6363636363636364,3.1618109090909226,69.5598400000003,31,1.4090909090909092,0.6774193548387096,-0.0254394826393111,100069.55984,22,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,QQQ,2.0,2.0,0.004,0.0005,10.0,20.0,1.5,60.0,0.0397670674185333,0.025916024692616,0.3050956991668551,-0.2507861104595243,0.6521739130434783,4.52822086956524,104.14908000000052,30,1.3043478260869563,0.6333333333333333,-0.0337331274243735,100104.14908,23,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,QQQ,2.0,2.0,0.004,0.0005,10.0,30.0,,60.0,0.0182427856832697,0.0269445653433986,0.2516167529835722,-0.2203368495700708,0.6363636363636364,2.6209018181818595,57.659840000000905,31,1.4090909090909092,0.6451612903225806,-0.0312817687219024,100057.65984,22,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,QQQ,2.0,2.0,0.004,0.0005,10.0,30.0,1.5,60.0,0.0653491552649466,0.0921911531709072,0.3181270951544612,-0.2203368495700708,0.6086956521739131,6.7225617391304695,154.6189200000008,28,1.2173913043478262,0.6428571428571429,-0.0176399141255667,100154.61892,23,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,QQQ,2.0,2.0,0.004,0.001,10.0,20.0,,60.0,0.0279873515981544,0.019178154942516,0.3050956991668551,-0.2507861104595243,0.6363636363636364,3.1618109090909226,69.5598400000003,31,1.4090909090909092,0.6774193548387096,-0.0254394826393111,100069.55984,22,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,QQQ,2.0,2.0,0.004,0.001,10.0,20.0,1.5,60.0,0.0397670674185333,0.025916024692616,0.3050956991668551,-0.2507861104595243,0.6521739130434783,4.52822086956524,104.14908000000052,30,1.3043478260869563,0.6333333333333333,-0.0337331274243735,100104.14908,23,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,QQQ,2.0,2.0,0.004,0.001,10.0,30.0,,60.0,0.0182427856832697,0.0269445653433986,0.2516167529835722,-0.2203368495700708,0.6363636363636364,2.6209018181818595,57.659840000000905,31,1.4090909090909092,0.6451612903225806,-0.0312817687219024,100057.65984,22,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,QQQ,2.0,2.0,0.004,0.001,10.0,30.0,1.5,60.0,0.0653491552649466,0.0921911531709072,0.3181270951544612,-0.2203368495700708,0.6086956521739131,6.7225617391304695,154.6189200000008,28,1.2173913043478262,0.6428571428571429,-0.0176399141255667,100154.61892,23,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,QQQ,2.0,2.0,0.005,0.0005,10.0,20.0,,60.0,0.0301807912676466,0.025916024692616,0.3050956991668551,-0.2507861104595243,0.5882352941176471,3.7026670588236055,62.945340000001295,24,1.411764705882353,0.625,-0.029954839525359,100062.94534,17,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,QQQ,2.0,2.0,0.005,0.0005,10.0,20.0,1.5,60.0,0.0541040875976606,0.0815294474032666,0.3050956991668551,-0.2507861104595243,0.6666666666666666,5.718587777777884,102.93458000000192,23,1.2777777777777777,0.6086956521739131,-0.0300142269783143,100102.93458,18,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,QQQ,2.0,2.0,0.005,0.0005,10.0,30.0,,60.0,0.0029248220634229,0.0011214942600914,0.2516167529835722,-0.2203368495700708,0.5294117647058824,1.8703141176471527,31.7953400000016,24,1.411764705882353,0.5416666666666666,-0.0470451764560841,100031.79534,17,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,QQQ,2.0,2.0,0.005,0.0005,10.0,30.0,1.5,60.0,0.0629979904345446,0.0853257311253346,0.3181270951544612,-0.2203368495700708,0.5555555555555556,5.850245555555675,105.30442000000214,21,1.1666666666666667,0.5714285714285714,-0.0176399141255667,100105.30442,18,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,QQQ,2.0,2.0,0.005,0.001,10.0,20.0,,60.0,0.0301807912676466,0.025916024692616,0.3050956991668551,-0.2507861104595243,0.5882352941176471,3.7026670588236055,62.945340000001295,24,1.411764705882353,0.625,-0.029954839525359,100062.94534,17,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,QQQ,2.0,2.0,0.005,0.001,10.0,20.0,1.5,60.0,0.0541040875976606,0.0815294474032666,0.3050956991668551,-0.2507861104595243,0.6666666666666666,5.718587777777884,102.93458000000192,23,1.2777777777777777,0.6086956521739131,-0.0300142269783143,100102.93458,18,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,QQQ,2.0,2.0,0.005,0.001,10.0,30.0,,60.0,0.0029248220634229,0.0011214942600914,0.2516167529835722,-0.2203368495700708,0.5294117647058824,1.8703141176471527,31.7953400000016,24,1.411764705882353,0.5416666666666666,-0.0470451764560841,100031.79534,17,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,QQQ,2.0,2.0,0.005,0.001,10.0,30.0,1.5,60.0,0.0629979904345446,0.0853257311253346,0.3181270951544612,-0.2203368495700708,0.5555555555555556,5.850245555555675,105.30442000000214,21,1.1666666666666667,0.5714285714285714,-0.0176399141255667,100105.30442,18,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,IWM,2.0,2.0,0.004,0.0005,10.0,20.0,,60.0,0.0333517560728759,0.0462366086856384,0.2615054758599444,-0.3666424682395552,0.7368421052631579,1.1610336842106193,22.05964000000176,34,1.7894736842105263,0.7352941176470589,-0.0178389912167564,100022.05964,19,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,IWM,2.0,2.0,0.004,0.0005,10.0,20.0,1.5,60.0,0.0500145054929259,0.0509978480043961,0.3263249125397637,-0.3666424682395552,0.7,1.3264950000001292,26.52990000000259,34,1.7,0.6470588235294118,-0.0193288062256713,100026.5299,20,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,IWM,2.0,2.0,0.004,0.0005,10.0,30.0,,60.0,-0.0147382190391943,-0.0416735600628503,0.1771679512457371,-0.3412341197822099,0.4210526315789473,-0.357387368421001,-6.7903599999990165,34,1.7894736842105263,0.5,-0.0257919078739288,99993.20964,19,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,IWM,2.0,2.0,0.004,0.0005,10.0,30.0,1.5,60.0,0.0075937763705479,-0.0196012409858944,0.3720327690170921,-0.3412341197822099,0.45,0.0513210000000166,1.0264200000003354,31,1.55,0.4193548387096774,-0.030505223335675,100001.02642,20,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,IWM,2.0,2.0,0.004,0.001,10.0,20.0,,60.0,0.0333517560728759,0.0462366086856384,0.2615054758599444,-0.3666424682395552,0.7368421052631579,1.1610336842106193,22.05964000000176,34,1.7894736842105263,0.7352941176470589,-0.0178389912167564,100022.05964,19,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,IWM,2.0,2.0,0.004,0.001,10.0,20.0,1.5,60.0,0.0500145054929259,0.0509978480043961,0.3263249125397637,-0.3666424682395552,0.7,1.3264950000001292,26.52990000000259,34,1.7,0.6470588235294118,-0.0193288062256713,100026.5299,20,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,IWM,2.0,2.0,0.004,0.001,10.0,30.0,,60.0,-0.0147382190391943,-0.0416735600628503,0.1771679512457371,-0.3412341197822099,0.4210526315789473,-0.357387368421001,-6.7903599999990165,34,1.7894736842105263,0.5,-0.0257919078739288,99993.20964,19,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,IWM,2.0,2.0,0.004,0.001,10.0,30.0,1.5,60.0,0.0075937763705479,-0.0196012409858944,0.3720327690170921,-0.3412341197822099,0.45,0.0513210000000166,1.0264200000003354,31,1.55,0.4193548387096774,-0.030505223335675,100001.02642,20,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,IWM,2.0,2.0,0.005,0.0005,10.0,20.0,,60.0,0.0383865751487071,0.0562575938142551,0.2615054758599444,-0.3666424682395552,0.75,1.2548143750000489,20.07703000000078,26,1.625,0.7692307692307693,-0.0203699792739597,100020.07703,16,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,IWM,2.0,2.0,0.005,0.0005,10.0,20.0,1.5,60.0,0.0584831187464097,0.057919724562836,0.3263249125397637,-0.3666424682395552,0.7058823529411765,1.3616105882353278,23.14738000000057,26,1.5294117647058822,0.6538461538461539,-0.016611429719604,100023.14738,17,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,IWM,2.0,2.0,0.005,0.0005,10.0,30.0,,60.0,-0.0284368942056201,-0.0514354212918117,0.1771679512457371,-0.3412341197822099,0.375,-0.910810624999976,-14.57296999999962,26,1.625,0.5,-0.0297237152966256,99985.42703,16,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,IWM,2.0,2.0,0.005,0.0005,10.0,30.0,1.5,60.0,0.0058097054816846,-0.0266142815567332,0.3720327690170921,-0.3412341197822099,0.4117647058823529,-0.3606317647059178,-6.130740000000602,24,1.411764705882353,0.4166666666666667,-0.0290542651165459,99993.86926,17,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,IWM,2.0,2.0,0.005,0.001,10.0,20.0,,60.0,0.0383865751487071,0.0562575938142551,0.2615054758599444,-0.3666424682395552,0.75,1.2548143750000489,20.07703000000078,26,1.625,0.7692307692307693,-0.0203699792739597,100020.07703,16,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,IWM,2.0,2.0,0.005,0.001,10.0,20.0,1.5,60.0,0.0584831187464097,0.057919724562836,0.3263249125397637,-0.3666424682395552,0.7058823529411765,1.3616105882353278,23.14738000000057,26,1.5294117647058822,0.6538461538461539,-0.016611429719604,100023.14738,17,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,IWM,2.0,2.0,0.005,0.001,10.0,30.0,,60.0,-0.0284368942056201,-0.0514354212918117,0.1771679512457371,-0.3412341197822099,0.375,-0.910810624999976,-14.57296999999962,26,1.625,0.5,-0.0297237152966256,99985.42703,16,2026-05-13T12:38:43,45,1.0,10,,,,
ote_long,5.1.1.1,OTE_LONG_RULE_BASED,IWM,2.0,2.0,0.005,0.001,10.0,30.0,1.5,60.0,0.0058097054816846,-0.0266142815567332,0.3720327690170921,-0.3412341197822099,0.4117647058823529,-0.3606317647059178,-6.130740000000602,24,1.411764705882353,0.4166666666666667,-0.0290542651165459,99993.86926,17,2026-05-13T12:38:43,45,1.0,10,,,,
